!Source	"The Drug Repurposing Hub, Broad Institute"		
!URL	http://www.broadinstitute.org/repurposing		
!File_date	3/27/17		
!Table_name	drug information		
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.		
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER’S SOLE RISK.		
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.		
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 23 (2017)."		
!Contact	repurposing@broadinstitute.org		
pert_iname	clinical_phase	moa	target
lasofoxifene	Launched	selective estrogen receptor modulator (SERM)	ESR1|ESR2
latamoxef	Launched	bacterial cell wall synthesis inhibitor	
latanoprost	Launched	prostanoid receptor agonist	PTGFR
latrepirdine	Phase 3	glutamate receptor antagonist	HRH1|HTR6
latrunculin-b	Phase 1	actin polymerization inhibitor	ACTA1|MKL1|SPIRE2
lauric-acid	Phase 3	bacterial permeability inducer	GPR84|HNF4A|LTF|LY96|PLA2G2A|TLR4
lauric-diethanolamide	Preclinical		
laurocapram	Phase 3		
lazabemide	Phase 3	monoamine oxidase inhibitor	MAOB
LB-100	Phase 1	protein phosphatase inhibitor	
LB42708	Preclinical	farnesyltransferase inhibitor	
LCL-161	Phase 2	XIAP inhibitor	BIRC2|XIAP
LCQ908	Phase 3	diacylglycerol O acyltransferase inhibitor	DGAT1
LCZ696	Launched	angiotensin receptor antagonist	
LDC1267	Preclinical	protein tyrosine kinase inhibitor	AXL|MERTK|TYRO3
LDN-212854	Preclinical	bone morphogenic protein inhibitor	ABL1|ACVR1|RIPK2
LDN-57444	Preclinical	ubiquitin C-terminal hydrolase inhibitor	
LDN193189	Preclinical	bone morphogenic protein inhibitor	ACVR1|BMPR1A
LE-135	Preclinical	retinoid receptor agonist	RARB
ledipasvir	Launched	HCV inhibitor	
leflunomide	Launched	dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	AHR|DHODH|PTK2B
lemborexant	Phase 3	orexin receptor antagonist	HCRTR1|HCRTR2
lenalidomide	Launched	anticancer agent	CDH5|CRBN|PTGS2|TNF|TNFSF11
lenvatinib	Launched	FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	FLT4|KDR
lercanidipine	Launched	calcium channel blocker	CACNA2D1|CACNG1
lerisetron	Phase 3	serotonin receptor antagonist	HTR3A
lersivirine	Phase 2	non-nucleoside reverse transcriptase inhibitor	
lesinurad	Launched	uric acid diuretic	SLC22A12
lestaurtinib	Phase 3	FLT3 inhibitor|growth factor receptor inhibitor|JAK inhibitor	FLT3|NTRK1
leteprinim	Phase 2	nerve growth factor agonist	
letermovir	Phase 3	CMV terminase inhibitor	
letosteine	Launched	mucolytic agent	
letrozole	Launched	aromatase inhibitor	CYP19A1
leucomethylene-blue	Phase 3	nitric oxide production inhibitor|tau aggregation inhibitor	MAPT
leucovorin	Launched	folate receptor ligand	TYMS
leucylleucine-methyl-ester	Phase 2		
leuprolide	Launched	gonadotropin releasing factor hormone receptor agonist	GNRHR
levalbuterol	Launched	adrenergic receptor agonist	ADRB2
levallorphan	Launched	opioid antagonist	CHRNA2|OPRM1
levamisole	Withdrawn	acetylcholine receptor agonist	ALPL|ALPPL2|CHRNA3
levcromakalim	Phase 3	potassium channel activator	KCNJ5|KCNJ8
levetiracetam	Launched	calcium channel blocker	CACNA1B|SCN1A|SV2A
levo-phencynonate	Launched	acetylcholine receptor antagonist	CHRM1
levobunolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
levobunolol-(+)	Preclinical	adrenergic receptor antagonist	
levobunolol-(+/-)	Preclinical	adrenergic receptor antagonist	
levocabastine	Launched	histamine receptor antagonist	HRH1|NTSR2
levocarnitine	Launched		
levocarnitine-propionate	Launched	carnitine palmitoyltransferase inhibitor	CRAT
levocetirizine	Launched	histamine receptor antagonist	HRH1
levodopa	Launched	dopamine precursor	DRD1|DRD2|DRD3|DRD4|DRD5|GPR143
levodropropizine	Launched	antitussive	
levofloxacin	Launched	bacterial DNA gyrase inhibitor	TOP2A
levomenol	Launched		
levomenthol	Launched		OPRK1|TRPA1|TRPM8|TRPV3
levomepromazine	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR2A|HTR2C
levomequitazine	Phase 2	histamine receptor antagonist	HRH1
levonordefrin	Launched	vasodilator	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|SLC6A2
levonorgestrel	Launched	estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist	AR|ESR1|PGR|SRD5A1
levopropoxyphene	Launched	antitussive	OPRD1|OPRK1|OPRM1
levosimendan	Launched	calcium sensitizer	KCNJ11|KCNJ8|PDE3A|TNNC1
levosulpiride	Launched	dopamine receptor antagonist	CA1|CA12|CA7|DRD2|DRD3
levothyroxine	Launched	thyroid hormone stimulant	THRA|THRB
LFM-A13	Preclinical	Bruton's tyrosine kinase (BTK) inhibitor	BTK
LGK-974	Phase 2	porcupine inhibitor	PORCN
LGX818	Phase 3	RAF inhibitor	BRAF
LH846	Preclinical	casein kinase inhibitor	CSNK1D
licarbazepine	Phase 3	voltage-gated sodium channel blocker	SCN5A
licochalcone-a	Phase 3	topoisomerase inhibitor	PTPN1
licofelone	Phase 3	cyclooxygenase inhibitor|lipoxygenase inhibitor	ALOX5|PLA2G2E|PTGS2
lidamidine	Launched	adrenergic receptor agonist	
lidocaine	Launched	histamine receptor agonist	EGFR|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
lidoflazine	Launched	calcium channel blocker	SCN1A|SCN3A|SLC29A1
ligustilide	Preclinical	tumor necrosis factor production inhibitor	TNF
limaprost-alfadex	Launched	prostanoid receptor agonist	PTGER1
limonin	Preclinical	HIV protease inhibitor	
linaclotide	Launched	guanylate cyclase activator	GUCY2C
linagliptin	Launched	dipeptidyl peptidase inhibitor	DPP4
linalool	Phase 1	anticonvulsant	
lincomycin	Launched	bacterial 30S ribosomal subunit inhibitor	
lindane	Launched		GABRB1|GLRA1|GLRA2|GLRA3|GLRB
linezolid	Launched	bacterial 50S ribosomal subunit inhibitor	MAOA|MAOB
linifanib	Phase 3	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET|TEK
linoleic-acid	Phase 3	oxidative stress inducer	FABP4|FFAR1|FFAR4|HNF4A|KCNB1|PPARG|TRPM8
linopirdine	Phase 3	potassium channel blocker	KCNQ2|KCNQ3|KCNQ4|KCNQ5
linsidomine	Launched	nitric oxide donor	
linsitinib	Phase 3	IGF-1 inhibitor	IGF1R|INSR|INSRR
liothyronine	Launched	thyroid hormone stimulant	THRA|THRB
liothyronine-(isomer)	Preclinical		
lipoamide	Preclinical		
liraglutide	Launched	GLP receptor agonist	GLP1R
liranaftate	Launched	fungal squalene epoxidase inhibitor	
lirimilast	Phase 2	phosphodiesterase inhibitor	
lisadimate	Launched	topical sunscreen agent	
lisinopril	Launched	angiotensin converting enzyme inhibitor	ACE|ACE2
lisofylline	Phase 2	interleukin receptor antagonist|STAT inhibitor	
lisuride	Launched	dopamine receptor agonist	ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6
lithium-acetoacetate	Preclinical		
lithium-citrate	Launched		
lithocholic-acid	Preclinical	FXR antagonist|vitamin D receptor agonist	GPBAR1|NR1H4|NR1I2|VDR
litronesib	Phase 2	kinesin-like spindle protein inhibitor	KIF11
lixivaptan	Phase 3	vasopressin receptor antagonist	AVPR2
LMI070	Phase 1/Phase 2	survival motor neuron protein modulator	SMN1
LM11A-31	Phase 1	neurotrophic agent	NGFR
lobeline	Launched	acetylcholine receptor antagonist	CHRNA10|CHRNA9|SLC18A2
lobendazole	Preclinical	anthelmintic agent	
lobenzarit	Launched	immunosuppressant	
lodoxamide	Launched	histamine receptor antagonist	
lofemizole	Phase 3	cyclooxygenase inhibitor	
lofepramine	Launched	norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)	HTR1A|SLC6A2|SLC6A4
lofexidine	Launched	adrenergic receptor agonist	ADRA2A
lomefloxacin	Launched	bacterial DNA gyrase inhibitor	TOP2A
lomeguatrib	Phase 2	O6-alkylguanine-DNA alkyltransferase inhibitor	MGMT
lomerizine	Launched	calcium channel blocker	CACNA1B|SCN5A
lometrexol	Phase 2	glycinamide ribonucleotide formyltransferase inhibitor	GART|MTHFD1
lomitapide	Launched	microsomal trigylceride transfer protein inhibitor	MTTP
lomustine	Launched	DNA synthesis inhibitor	STMN4
lonafarnib	Phase 3	farnesyltransferase inhibitor	FNTA|HRAS|KRAS|NRAS
lonidamine	Launched	glucokinase inhibitor	GCK
loperamide	Launched	opioid receptor agonist	CACNA1A|CALM1|OPRD1|OPRK1|OPRM1|POMC
lopinavir	Launched	HIV protease inhibitor	
loracarbef	Launched	bacterial cell wall synthesis inhibitor	
loratadine	Launched	histamine receptor antagonist	HRH1
lorazepam	Launched	benzodiazepine receptor agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|TSPO
lorcaserin	Launched	serotonin receptor agonist	HTR2A|HTR2B|HTR2C
loreclezole	Phase 2	benzodiazepine receptor agonist	GABRB2|GABRB3
lorediplon	Phase 2	GABA receptor modulator	GABRA1
lorglumide	Phase 1	CCK receptor antagonist	CCKAR|CCKBR
lorlatinib	Phase 2	ALK tyrosine kinase receptor inhibitor	ALK
lornoxicam	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
losartan	Launched	angiotensin receptor antagonist	AGTR1
losmapimod	Phase 3	p38 MAPK inhibitor	MAPK14
loteprednol	Launched	glucocorticoid receptor agonist|phospholipase inhibitor	NR3C1
lovastatin	Launched	HMGCR inhibitor	HDAC2|HMGCR|ITGAL|NR1I2
loxapine	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR5A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4
loxistatin-acid	Preclinical	cysteine peptidase inhibitor	CTSB
LOXO-101	Phase 2	tropomyosin receptor kinase inhibitor	NTRK1|NTRK2|NTRK3
loxoprofen	Launched	cyclooxygenase inhibitor|prostanoid receptor antagonist	PTGS2
LPA2-antagonist-1	Preclinical	lysophosphatidic acid receptor antagonist	LPAR2
LRRK2-IN-1	Preclinical	leucine rich repeat kinase inhibitor	LRRK2
LTA	Phase 2		
LTB4	Phase 2	leukocyte activator	LTB4R|LTB4R2
lubiprostone	Launched	chloride channel activator	CLCN2
lucitanib	Phase 2	FGFR inhibitor|VEGFR inhibitor	FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET
lufenuron	Launched	chitin inhibitor	
luliconazole	Launched	sterol demethylase inhibitor	
lumacaftor	Launched	CFTR channel agonist	CFTR
lumateperone	Phase 3	serotonin receptor antagonist|dopamine receptor modulator	DRD2|HTR2A
lumefantrine	Launched	antimalarial agent	ATP1A1
lumiracoxib	Withdrawn	cyclooxygenase inhibitor	PTGS1|PTGS2
lupanine	Phase 1	sodium channel blocker	INS
lurasidone	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA2A|ADRA2C|DRD2|HTR1A|HTR2A|HTR7
lutein	Launched	antioxidant	
luteolin	Phase 2	glucosidase inhibitor	TOP1
luzindole	Preclinical	melatonin receptor antagonist	MTNR1A|MTNR1B
LXR-623	Phase 1	LXR agonist	AR|NR1H2|NR1H3|NR1I2|NR3C1
LX1031	Phase 2	tryptophan hydroxylase inhibitor	TPH1
LX7101	Phase 1/Phase 2	LIM kinase inhibitor|rho associated kinase inhibitor	LIMK2|ROCK1|ROCK2
lycopene	Phase 3	free radical scavenger	
lylamine	Preclinical	cannabinoid receptor agonist	CNR1
lymecycline	Launched	bacterial 50S ribosomal subunit inhibitor	
lynestrenol	Launched	progestogen hormone	
lypressin	Launched	vasopressin receptor agonist	AVPR1A|AVPR1B|AVPR2
LY2090314	Phase 2	glycogen synthase kinase inhibitor	GSK3B
LY2109761	Preclinical	TGF beta receptor inhibitor	TGFBR1|TGFBR2
LY2140023	Phase 3	glutamate receptor agonist	GRM3
LY215490	Phase 1	glutamate receptor antagonist	GRIA1|GRIA2|GRIA3|GRIA4|GRIK1
LY2157299	Phase 2/Phase 3	TGF beta receptor inhibitor	TGFBR1
LY2183240	Preclinical	FAAH inhibitor|FAAH reuptake inhibitor	FAAH
LY2228820	Phase 2	p38 MAPK inhibitor	MAPK14
LY223982	Phase 2	leukotriene receptor antagonist	LTB4R
LY225910	Preclinical	CCK receptor antagonist	CCKBR
LY231617	Preclinical	lipid peroxidase inhibitor	
LY2334737	Phase 1	antitumor agent|ribonucleotide reductase inhibitor	
LY2365109	Preclinical	Glycine transporter 1 inhibitor	SLC6A9
LY2452473	Phase 2	androgen receptor modulator	AR
LY255283	Preclinical	leukotriene receptor antagonist	LTB4R|LTB4R2
LY2584702	Phase 1	ribosomal protein inhibitor	RPS6KB1
LY2603618	Phase 2	CHK inhibitor	CHEK1
LY2606368	Phase 2	CHK inhibitor	CHEK1
LY2608204	Phase 2	glucokinase activator	GCK
LY2784544	Phase 2	JAK inhibitor	JAK2|JAK3
LY2801653	Phase 2	MET inhibitor	MET
LY2811376	Phase 1	beta-secretase inhibitor	BACE1
LY2835219	Phase 3	CDK inhibitor	CDK4|CDK6
LY2857785	Preclinical	CDK inhibitor	CDK9
LY2874455	Phase 1	FGFR antagonist	FGFR1|FGFR2|FGFR3|FGFR4|KDR
LY288513	Preclinical	CCK receptor antagonist	CCKBR
LY2886721	Phase 1/Phase 2	beta-secretase inhibitor	BACE1
LY294002	Preclinical	mTOR inhibitor|PI3K inhibitor|DNA dependent protein kinase inhibitor|phosphodiesterase inhibitor|PLK inhibitor	AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1
LY2979165	Phase 1	glutamate receptor agonist	GRM2
LY3000328	Phase 1	cathepsin inhibitor	CTSS
LY3009120	Phase 1	RAF inhibitor	BRAF|RAF1
LY3023414	Phase 2	PI3K inhibitor|mTOR inhibitor	MTOR
LY303511	Preclinical	casein kinase inhibitor|mTOR inhibitor|PI3K inhibitor	BRD2|BRD3|BRD4
LY310762	Preclinical	serotonin receptor antagonist	HTR1D
LY320135	Preclinical	cannabinoid receptor antagonist	CNR1
LY344864	Preclinical	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR7
LY364947	Preclinical	TGF beta receptor inhibitor|p38 MAPK inhibitor	TGFBR1
LY393558	Preclinical	serotonin receptor antagonist	HTR1B|HTR1D|HTR2A|HTR2B
LY411575	Preclinical	gamma secretase inhibitor	
LY450108	Phase 1	glutamate receptor modulator	
LY456236	Preclinical	glutamate receptor antagonist	GRM1
m-Chlorophenylbiguanide	Preclinical		HTR3A|HTR3B
m-THP	Phase 1		
M-14157	Phase 2	ATP-sensitive potassium channel antagonist	KCNQ1
m-3M3FBS	Preclinical		PLCB2|PLCB3|PLCD1|PLCG1|PLCG2
M-344	Preclinical	HDAC inhibitor	
mabuprofen	Launched	cyclooxygenase inhibitor	
mabuterol	Launched	adrenergic receptor agonist	ADRB2
macelignan	Preclinical	antioxidant|antiinflammatory agent	
macitentan	Launched	endothelin receptor antagonist	EDNRA|EDNRB
madrasin	Preclinical	cell splicing inhibitor	
mafenide	Launched	carbonic anhydrase inhibitor	CA12|CA14|CA2|CA4|CA6|CA9
magnolol	Preclinical	PPAR receptor agonist	GABRA1|PPARG
malathion	Launched	cholinesterase inhibitor	ACHE|BCHE
malic-acid	Launched		CS|ME2|PKD2L1
malotilate	Launched	protein synthesis stimulant	
maltobionic-acid	Launched	matrix metalloprotease inhibitor	
mandelic-acid	Launched		
mangafodipir	Launched	contrast agent	
manidipine	Launched	calcium channel blocker	CACNA1C|CACNA1D
mannitol-D	Launched	diuretic	
maprotiline	Launched	norepinephrine reputake inhibitor|tricyclic antidepressant	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR2A|HTR2C|HTR7|SLC6A2
maraviroc	Launched	CC chemokine receptor antagonist	CCR5
marbofloxacin	Launched	bacterial DNA gyrase inhibitor	
maribavir	Phase 3	cytomegalovirus inhibitor|protein kinase inhibitor	PYGM
marimastat	Phase 3	matrix metalloprotease inhibitor	MMP1|MMP10|MMP11|MMP12|MMP13|MMP14|MMP15|MMP16|MMP17|MMP19|MMP2|MMP20|MMP21|MMP23A|MMP24|MMP25|MMP26|MMP27|MMP28|MMP3|MMP7|MMP8|MMP9
maropitant	Launched	neurokinin receptor antagonist	TACR1
masitinib	Launched	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor	FGFR3|KIT|PDGFRA|PDGFRB
masoprocol	Launched	lipoxygenase inhibitor	ALOX5
matrine	Phase 2	opioid receptor agonist	OPRK1
mavoglurant	Phase 2	glutamate receptor antagonist	GRM5
maxacalcitol	Launched	vitamin D receptor agonist	VDR
maytansinol-isobutyrate	Preclinical		
mazindol	Launched	dopamine reuptake inhibitor|selective serotonin reuptake inhibitor (SSRI)	SLC6A2|SLC6A3|SLC6A4
MBX-2982	Phase 2	glucose dependent insulinotropic receptor agonist	GPR119
MC-1	Phase 3		AADAT|ABAT|AGXT|AGXT2|ALAS1|AZIN2|BCAT1|BCAT2|CBS|CCBL1|CCBL2|CSAD|CTH|DDC|FTCD|GAD1|GAD2|GADL1|GCAT|GLDC|GOT1|GOT2|GPT|GPT2|HDC|IGSF10|KYNU|MOCOS|NFS1|OAT|ODC1|PDXDC1|PDXP|PHYKPL|PNPO|PROSC|PSAT1|PYGB|PYGL|PYGM|SCLY|SDS|SDSL|SEPSECS|SGPL1|SHMT1|SHMT2|SPTLC1|SPTLC2|SPTLC3|SRR|TAT|THNSL1
MCC950	Preclinical	NOD like receptor inhibitor	NLRP3
McN-5652-(+/-)	Preclinical	selective serotonin reuptake inhibitor (SSRI)	
mCPP	Phase 2	serotonin receptor agonist	HTR1A|HTR1D|HTR1E|HTR2A|HTR2B|HTR2C|HTR6
MC1568	Preclinical	HDAC inhibitor	HDAC2
MD-920	Phase 1	NFkB pathway inhibitor	AADACL2
mdivi-1	Preclinical	dynamin inhibitor	DNM1
MDL-11939	Phase 2	serotonin receptor antagonist	HTR2A|HTR2B|HTR2C
MDL-27531	Preclinical	glycine receptor agonist	
MDL-29951	Preclinical	glutamate receptor antagonist	FBP1
MDL-72832	Preclinical	serotonin receptor agonist	HTR1A
MDL-73005EF	Phase 1	serotonin receptor antagonist	HTR1A
MDMS	Phase 2	DNA inhibitor	
mebendazole	Launched	tubulin polymerization inhibitor	TUBA1A|TUBB|TUBB4B
mebeverine	Launched	acetylcholine receptor antagonist	CHRM1
mebhydrolin	Launched	antihistamine	
mebicar	Launched	anxiolytic	
mebrofenin	Launched		
mecamylamine	Launched	acetylcholine receptor antagonist	CHRNA1|CHRNA2|CHRNA3|CHRNA4|CHRNA6|CHRNA7
mecarbinate	Preclinical		
mechlorethamine	Launched	DNA inhibitor	
meclinertant	Phase 2/Phase 3	neurotensin receptor antagonist	NTSR1|NTSR2
meclizine	Launched	constitutive androstane receptor (CAR) agonist	HRH1|NR1I3
meclocycline-sulfosalicylate	Launched	bacterial 50S ribosomal subunit inhibitor	
meclofenamic-acid	Launched	cyclooxygenase inhibitor|prostanoid receptor antagonist	ALOX5|CNR1|KCNQ2|KCNQ3|PTGS1|PTGS2
meclofenoxate	Launched	nootropic agent	
mecysteine	Launched	analgesic agent	
medetomidine	Launched	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C
medica-16	Phase 2	ATP citrase lyase inhibitor	FFAR1
medorinone	Phase 1		
medronic-acid	Launched	bone resorption inhibitor	
medroxyprogesterone	Launched	progesterone receptor agonist	ESR1|PGR
medroxyprogesterone-acetate	Launched	progesterone receptor agonist	
medrysone	Launched	glucocorticoid receptor agonist	NR3C1
mefenamic-acid	Launched	cyclooxygenase inhibitor	KCNQ1|PTGS1|PTGS2|TRPM3
mefexamide	Preclinical	psychoactive drug	
mefloquine	Launched	adenosine receptor antagonist|hemoglobin antagonist	ADORA2A|HBA1
megestrol-acetate	Launched	progesterone receptor agonist	NR3C1|PGR
meglitinide	Phase 2	potassium channel blocker	CCR2
meglumine	Launched	excipient	
meglutol	Launched	HMGCR inhibitor	HMGCR
meisoindigo	Phase 3	STAT inhibitor	STAT3
MEK1-2-inhibitor	Preclinical	MEK inhibitor	MAP2K2
MEK162	Phase 3	MEK inhibitor	MAP2K1|MAP2K2
melatonin	Launched	melatonin receptor agonist|nitric oxide synthase inhibitor	ASMT|CALM1|CALR|EPX|ESR1|HTR2B|MPO|MTNR1A|MTNR1B|NQO2|RORB
meldonium	Launched	gamma butyrobetaine hydroxylase inhibitor	BBOX1
melengestrol-acetate	Preclinical	progesterone receptor agonist	
melevodopa	Launched	dopamine precursor|dopamine receptor agonist	DDC
meloxicam	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
melperone	Launched	dopamine receptor antagonist|serotonin receptor antagonist	DRD2|HTR2A
melphalan	Launched	DNA alkylating agent|DNA inhibitor	
melphalan-n-oxide	Phase 1	hypoxia inducible factor inhibitor	HIF1A
meluadrine	Preclinical		
memantine	Launched	glutamate receptor antagonist	CHRFAM7A|DRD2|GRIN1|GRIN2A|GRIN2B|GRIN3A|HTR3A
menadione	Launched	mitochondrial DNA polymerase inhibitor|phosphatase inhibitor	AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1
menadione-bisulfite	Phase 2	vitamin K	GGCX|VKORC1|VKORC1L1
menatetrenone	Launched	bone resorption inhibitor	
menbutone	Launched		
mepacrine	Launched	cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator	PLA2G1B|PLA2G4A|PLA2G6|PLCL1
meparfylon	Preclinical		
mepazine	Phase 2	MALT1 inhibitor (JH)	MALT1
mepenzolate	Launched	acetylcholine receptor antagonist	CHRM1|CHRM3
mephenesin	Launched	muscle relaxant	
mephentermine	Launched	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3
mephenytoin	Launched	hydantoin antiepileptic	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
mepiroxol	Preclinical		
mepivacaine	Launched	potassium channel blocker|sodium channel blocker	SCN10A
meprednisone	Launched		NR3C1
meprobamate	Launched		GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ
meprylcaine	Preclinical	local anesthetic	
meptazinol	Launched	opioid receptor agonist	BCHE
mepyramine	Launched	histamine receptor antagonist	HRH1
mequinol	Launched		TYR
merbarone	Phase 2	topoisomerase inhibitor	TOP2A
merbromin	Launched	antiseptic	
mercaptopurine	Launched	immunosuppressant|protein synthesis inhibitor|purine antagonist	HPRT1|IMPDH1|IMPDH2|PPAT
mercaptosuccinic-acid	Launched		
mericitabine	Phase 2	HCV inhibitor	
merimepodib	Phase 2	inosine monophosphate dehydrogenase inhibitor	IMPDH1
meropenem	Launched	bacterial cell wall synthesis inhibitor	
mesalazine	Launched	cyclooxygenase inhibitor|lipoxygenase inhibitor|prostanoid receptor antagonist	ALOX5|CHUK|IKBKB|MPO|PPARG|PTGS1|PTGS2
mesna	Launched	antioxidant	
mesoridazine	Launched	dopamine receptor antagonist	DRD2|HTR2A
mestinon	Launched	cholinesterase inhibitor	ACHE|BCHE
mestranol	Launched	estrogen receptor agonist	ESR1
mesulergine	Phase 2	dopamine receptor agonist	HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR6|HTR7
meta-cresyl-acetate	Preclinical		
metacetamol	Preclinical	analgesic agent	
metacresol	Launched		INS
metafolin	Launched		AMT
metamizole	Withdrawn	cyclooxygenase inhibitor|opioid receptor agonist	PTGS1
metaphit	Preclinical	phencyclidine receptor acylator	
metaproterenol	Launched	adrenergic receptor agonist	ADRB2
metaraminol	Launched	adrenergic receptor agonist	ADRA1A
metatinib	Phase 1	Bcr-Abl kinase inhibitor	ABL1|BCR
metaxalone	Launched	muscle relaxant	
metazosin	Phase 2	adrenergic receptor antagonist	ADRA1A
metenkephalin	Phase 2	immunostimulant	OPRD1
metergoline	Launched	dopamine receptor agonist|serotonin receptor antagonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7
metformin	Launched	insulin sensitizer	ACACB|PRKAB1
methacholine	Launched	acetylcholine receptor agonist	CHRM2|CHRM3|CHRM4
methacycline	Launched	protein synthesis inhibitor	
methanesulfonyl-fluoride	Phase 2	acetylcholinesterase inhibitor	ACHE
methantheline	Launched	acetylcholine receptor antagonist	CHRM1|HRH2
methapyrilene	Withdrawn	histamine receptor antagonist	HRH1
metharbital	Launched	GABA receptor modulator	CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2
methazolamide	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA7
methenamine	Launched	bacterial DNA inhibitor	
methiazole	Preclinical	anthelmintic agent	
methicillin	Launched	bacterial cell wall synthesis inhibitor	
methimazole	Launched	antithyroid agent	TPO
methionine	Launched		BHMT|BHMT2|METAP2|MTR|MTRR
methiopril	Phase 2	angiotensin converting enzyme inhibitor	ACE
methocarbamol	Launched	muscle relaxant	CA1
methoprene-(s)	Preclinical		
methotrexate	Launched	dihydrofolate reductase inhibitor	DHFR
methoxamine	Launched	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D
methoxsalen	Launched	DNA synthesis inhibitor	CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4
methoxyamine	Phase 2	DNA repair enzyme inhibitor	APEX1
methoxyflurane	Launched	membrane permeability inhibitor	ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|MT-ND1
methoxyphenamine	Launched	adrenergic receptor agonist	
