!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	3/24/2020				
!Table_name	drug information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
L-701252	Preclinical	glutamate receptor antagonist	GRIN1		
L-701324	Preclinical	glutamate receptor antagonist	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D		
"L-732,138"	Preclinical	tachykinin antagonist	TACR1|TACR2		
L-733060	Preclinical	tachykinin antagonist	TACR1		
L-741742	Preclinical	dopamine receptor antagonist	DRD3|DRD4|SCN1A|SCN3A		
L-745870	Preclinical	dopamine receptor antagonist	DRD1|DRD2|DRD3|DRD4|HTR1A|HTR2A|HTR6|HTR7		
L-755507	Preclinical	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3		
L-760735	Preclinical	tachykinin antagonist	TACR1		
L-778123	Phase 1	farnesyltransferase inhibitor	FNTA|FNTB|PGGT1B		
L-798106	Preclinical	prostanoid receptor antagonist	PTGER3		
L-838417	Preclinical	GABA receptor partial agonist	GABRA1|GABRA2|GABRA3|GABRA5		
labetalol	Launched	adrenergic receptor antagonist	ADRA1D|ADRB1|ADRB2	cardiology	hypertension
lacidipine	Launched	calcium channel blocker	CACNA1C	cardiology	hypertension
lacitol	Launched	laxative		gastroenterology	constipation
lactulose	Launched	laxative		gastroenterology	portal-systemic encephalopathy (PSE)
lafutidine	Launched	histamine receptor antagonist	HRH2	gastroenterology	duodenal ulcer disease|peptic ulcer disease (PUD)
lamivudine	Launched	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)|acquired immunodeficiency syndrome (AIDS)|hepatitis B
lamotrigine	Launched	serotonin receptor antagonist|sodium channel blocker	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	epilepsy|bipolar disorder
lanabecestat	Phase 3	beta secretase inhibitor			
lanatoside-C	Preclinical	cardiac glycoside			
landiolol	Launched	adrenergic receptor antagonist	ADRB1	cardiology	cardiac arrythmia
lanifibranor	Phase 2	PPAR receptor agonist			
lanoconazole	Launched	sterol demethylase inhibitor		infectious disease	fungal infection
lansoprazole	Launched	ATPase inhibitor	ATP4A|ATP4B	gastroenterology	heartburn
lapatinib	Launched	EGFR inhibitor	EGFR|ERBB2	oncology	breast cancer
lappaconite	Phase 2	sodium channel blocker			
laquinimod	Phase 3	immunosuppressant	CXCL2		
larazotide-acetate	Phase 2	tight junction regulator			
laropiprant	Launched	prostanoid receptor antagonist	PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGFR|PTGIR|TBXA2R	cardiology	cholesterol
larotrectinib	Launched	tropomyosin receptor kinase inhibitor	NTRK1|NTRK2|NTRK3		
lasalocid	Launched	bacterial permeability inducer		infectious disease	coccidiosis
lasmiditan	Launched	serotonin receptor agonist			
lasofoxifene	Launched	selective estrogen receptor modulator (SERM)	ESR1|ESR2	orthopedics|oncology	osteoporosis|breast cancer
latanoprost	Launched	prostanoid receptor agonist	PTGFR	ophthalmology	ocular hypertension|glaucoma
latrepirdine	Phase 3	glutamate receptor antagonist	HRH1|HTR6		
latrunculin-B	Phase 1	actin polymerization inhibitor	ACTA1|MKL1|SPIRE2		
lauric-acid	Phase 3	bacterial permeability inducer	GPR84|HNF4A|LTF|LY96|PLA2G2A|TLR4		
lauric-diethanolamide	Preclinical				
laurocapram	Phase 3				
lazabemide	Phase 3	monoamine oxidase inhibitor	MAOB		
lazertinib	Phase 1/Phase 2	tyrosine kinase inhibitor			
LB-100	Phase 2	protein phosphatase inhibitor			
LB42708	Preclinical	farnesyltransferase inhibitor			
LCL-161	Phase 2	XIAP inhibitor	BIRC2|XIAP		
LCQ908	Phase 3	diacylglycerol O acyltransferase inhibitor	DGAT1		
LCZ696	Launched	angiotensin receptor antagonist		cardiology	angioedema|hypotension
LDC1267	Preclinical	protein tyrosine kinase inhibitor	AXL|MERTK|TYRO3		
LDN-209929	Preclinical	haspin kinase inhibitor	GSG2		
LDN-212854	Preclinical	bone morphogenic protein inhibitor	ABL1|ACVR1|RIPK2		
LDN-27219	Preclinical	tissue transglutaminase inhibitor	TGM2		
LDN-57444	Preclinical	ubiquitin C-terminal hydrolase inhibitor			
LDN193189	Preclinical	bone morphogenic protein inhibitor	ACVR1|BMPR1A		
LE-135	Preclinical	retinoid receptor agonist	RARB		
ledipasvir	Launched	HCV inhibitor		infectious disease	hepatitis C
leflunomide	Launched	dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	AHR|DHODH|PTK2B	rheumatology	rheumatoid arthritis
lemborexant	Launched	orexin receptor antagonist	HCRTR1|HCRTR2		
lenalidomide	Launched	anticancer agent	TNF	hematologic malignancy	multiple myeloma|mantle cell lymphoma (MCL)|myelodysplastic diseases (MDS)
leniolisib	Phase 2/Phase 3	PI3K inhibitor			
lenvatinib	Launched	FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	FLT4|KDR	oncology	thyroid cancer
leonurine	Preclinical	anti-inflammatory agent			
LEQ506	Phase 1	G protein signaling inhibitor			
lercanidipine	Launched	calcium channel blocker	CACNA2D1	cardiology	hypertension
lerisetron	Phase 3	serotonin receptor antagonist	HTR3A		
lersivirine	Phase 2	non-nucleoside reverse transcriptase inhibitor			
lesinurad	Launched	uric acid diuretic	SLC22A12	rheumatology	gout
lestaurtinib	Phase 3	FLT3 inhibitor|growth factor receptor inhibitor|JAK inhibitor	FLT3|NTRK1		
leteprinim	Phase 2	nerve growth factor agonist			
letermovir	Launched	CMV terminase inhibitor		infectious disease	cytomegalovirus (CMV)
letosteine	Launched	mucolytic agent		pulmonary|infectious disease	bronchitis|pneumonia
letrazuril	Phase 1	antiinfective drug			
letrozole	Launched	aromatase inhibitor	CYP19A1	oncology	breast cancer
leucomethylene-blue	Phase 3	nitric oxide production inhibitor|tau aggregation inhibitor	MAPT		
leucovorin	Launched	folate receptor ligand		oncology	osteosarcoma
leucylleucine-methyl-ester	Phase 2				
leuprolide	Launched	gonadotropin releasing factor hormone receptor agonist	GNRHR	oncology	prostate cancer
levalbuterol	Launched	adrenergic receptor agonist	ADRB2	pulmonary	bronchospasm
levallorphan	Launched	opioid receptor antagonist	CHRNA2|OPRM1	pulmonary	respiratory depression
levamisole	Withdrawn	acetylcholine receptor agonist	ALPL		
levamlodipine	Launched	calcium channel blocker		cardiology	hypertension
levcromakalim	Phase 3	potassium channel activator	KCNJ5		
levetiracetam	Launched	calcium channel blocker	CACNA1B|SCN1A|SV2A	neurology/psychiatry	seizures
levo-phencynonate	Launched	acetylcholine receptor antagonist	CHRM1		
levobetaxolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	ophthalmology	intraocular pressure|glaucoma
levobunolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3	ophthalmology	glaucoma|ocular hypertension
levobunolol-(+)	Preclinical	adrenergic receptor antagonist			
levobunolol-(+/-)	Preclinical	adrenergic receptor antagonist			
levocabastine	Launched	histamine receptor antagonist	HRH1|NTSR2	ophthalmology	conjunctivitis
levocarnitine	Launched		CRAT|CROT	endocrinology	carnitine deficiency
levocarnitine-propionate	Launched	carnitine palmitoyltransferase inhibitor	CRAT	neurology/psychiatry|endocrinology	peripheral neuropathy|carnitine deficiency
levocetirizine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis|urticaria
levodopa	Launched	dopamine precursor	DRD1|DRD2|DRD3|DRD4|DRD5|GPR143	neurology/psychiatry	Parkinson's Disease
levodropropizine	Launched	antitussive		pulmonary	cough suppressant
levofloxacin	Launched	bacterial DNA gyrase inhibitor	TOP2A	infectious disease|otolaryngology|pulmonary|urology	pneumonia|sinusitis|bronchitis|skin infections|prostatitis|urinary tract infections|pyelonephritis|anthrax|plague
levomenol	Launched			neurology/psychiatry|infectious disease	spasms|skin infections
levomenthol	Launched		OPRK1|TRPA1|TRPM8|TRPV3	neurology/psychiatry	pain relief
levomepromazine	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR2A|HTR2C	neurology/psychiatry|gastroenterology	psychosis|schizophrenia|bipolar disorder|nausea|insomnia
levomequitazine	Phase 2	histamine receptor antagonist	HRH1		
levonordefrin	Launched	vasodilator	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|SLC6A2	hematology	hemorrhage
levonorgestrel	Launched	estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist	PGR	endocrinology	contraceptive
levopropoxyphene	Launched	antitussive		pulmonary	cough suppressant
levosimendan	Launched	calcium sensitizer	KCNJ11|KCNJ8|PDE3A|TNNC1	cardiology	congestive heart failure
levosulpiride	Launched	dopamine receptor antagonist	CA1|CA12|CA7|DRD2|DRD3	neurology/psychiatry|gastroenterology|urology	schizophrenia|psychosis|anxiety|vertigo|dyspepsia|irritable bowel syndrome|premature ejaculation (PE)
levothyroxine	Launched	thyroid hormone stimulant	THRA|THRB	endocrinology	myxedema coma
LFM-A13	Preclinical	Bruton's tyrosine kinase (BTK) inhibitor	BTK		
LGD-6972	Phase 2	glucagon receptor antagonist			
LGK-974	Phase 2	porcupine inhibitor	PORCN		
LH846	Preclinical	casein kinase inhibitor	CSNK1D		
liarozole	Phase 2/Phase 3	cytochrome P450 inhibitor	CYP19A1|CYP26A1		
licarbazepine	Phase 3	voltage-gated sodium channel blocker	SCN5A		
licochalcone-A	Phase 3	topoisomerase inhibitor	PTPN1		
licofelone	Phase 3	cyclooxygenase inhibitor|lipoxygenase inhibitor	ALOX5|PLA2G2E|PTGS2		
licogliflozin	Preclinical	sodium/glucose cotransporter inhibitor			
licostinel	Phase 1	NMDA receptor antagonist 			
lidamidine	Launched	adrenergic receptor agonist		gastroenterology	diarrhea
lidocaine	Launched	histamine receptor agonist	EGFR|SCN10A|SCN5A|SCN9A	neurology/psychiatry|dermatology|hematology	itching|eczema|hemorrhage
lidoflazine	Launched	calcium channel blocker	SCN1A|SCN3A|SLC29A1	cardiology	coronary artery disease (CAD)
lifirafenib	Phase 1/Phase 2	RAF inhibitor			
lifitegrast	Launched	lymphocyte function-associated antigen negative modulator		ophthalmology	dry eye syndrome
ligustilide	Preclinical	tumor necrosis factor production inhibitor	TNF		
limaprost-alfadex	Launched	prostanoid receptor agonist	PTGER1	cardiology	claudication
LIMKi-3	Preclinical	LIM kinase inhibitor	LIMK1		
limonin	Preclinical	HIV protease inhibitor			
linaclotide	Launched	guanylate cyclase activator	GUCY2C	gastroenterology	irritable bowel syndrome|constipation
linagliptin	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
linalool	Phase 1	anticonvulsant			
linaprazan	Preclinical	ATP-sensitive potassium channel inhibitor			
lincomycin	Launched	bacterial 30S ribosomal subunit inhibitor		gastroenterology	enteritis
lindane	Launched		GABRB1|GLRA1|GLRA2|GLRA3|GLRB	infectious disease	scabies
linezolid	Launched	bacterial 50S ribosomal subunit inhibitor	MAOA|MAOB	infectious disease	pneumonia|skin infections
linifanib	Phase 3	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET|TEK		
linoleic-acid	Phase 3	oxidative stress inducer	FABP4|FFAR1|FFAR4|HNF4A|KCNB1|PPARG|TRPM8		
linopirdine	Phase 3	potassium channel blocker	KCNQ2|KCNQ3|KCNQ4|KCNQ5		
linsidomine	Launched	nitric oxide donor		urology	erectile dysfunction
linsitinib	Phase 3	IGF-1 inhibitor	IGF1R|INSR|INSRR		
lintopride	Preclinical	serotonin receptor antagonist			
liothyronine	Launched	thyroid hormone stimulant	THRA|THRB	endocrinology	hypothyroidism|myxedema coma
liothyronine-(isomer)	Preclinical				
lipoamide	Preclinical				
liquiritin	Preclinical	antioxidant			
liraglutide	Launched	GLP receptor agonist	GLP1R	endocrinology	weight-loss aid|diabetes mellitus
liranaftate	Launched	fungal squalene epoxidase inhibitor		infectious disease	fungal infection
lirimilast	Phase 2	phosphodiesterase inhibitor			
lisadimate	Launched	topical sunscreen agent		dermatology	sunscreen lotion
lisinopril	Launched	angiotensin converting enzyme inhibitor	ACE|ACE2	cardiology|endocrinology	hypertension|congestive heart failure|diabetes mellitus
lisofylline	Phase 2	interleukin receptor antagonist|STAT inhibitor			
lisuride	Launched	dopamine receptor agonist	ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6	neurology/psychiatry	Parkinson's Disease
lithium-acetoacetate	Preclinical		FAH		
lithium-citrate	Launched			neurology/psychiatry	bipolar disorder|depression
lithocholic-acid	Preclinical	FXR antagonist|vitamin D receptor agonist	GPBAR1|NR1H4|NR1I2|VDR		
litronesib	Phase 2	kinesin-like spindle protein inhibitor	KIF11		
lixivaptan	Phase 3	vasopressin receptor antagonist	AVPR2		
LM-22A4	Preclinical	tropomyosin receptor kinase inhibitor	NTRK2		
LMI070	Phase 1/Phase 2	survival motor neuron protein modulator	SMN1		
LMK-235	Preclinical	HDAC inhibitor	HDAC4|HDAC5		
LM11A-31	Phase 1	neurotrophic agent	NGFR		
lobeline	Launched	acetylcholine receptor antagonist	CHRNA10|CHRNA9|SLC18A2	neurology/psychiatry	smoking cessation
lobendazole	Preclinical	anthelmintic agent			
lobenzarit	Launched	immunosuppressant		rheumatology	rheumatoid arthritis
lodenosine	Phase 2	antiretroviral 			
lodoxamide	Launched	histamine receptor antagonist		ophthalmology	vernal keratoconjunctivitis (VKC)
lofemizole	Phase 3	cyclooxygenase inhibitor			
lofepramine	Launched	norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)	HTR1A|SLC6A2|SLC6A4	neurology/psychiatry	depression
lofexidine	Launched	adrenergic receptor agonist		neurology/psychiatry	opioid withdrawal
lomefloxacin	Launched	bacterial DNA gyrase inhibitor		infectious disease	respiratory tract infections|urinary tract infections
lomeguatrib	Phase 2	O6-alkylguanine-DNA alkyltransferase inhibitor	MGMT		
lomerizine	Launched	calcium channel blocker	CACNA1B|SCN5A	neurology/psychiatry	migraine headache
lometrexol	Phase 2	glycinamide ribonucleotide formyltransferase inhibitor	GART		
lomitapide	Launched	microsomal trigylceride transfer protein inhibitor	MTTP	endocrinology	hypercholesterolemia
lomustine	Launched	DNA synthesis inhibitor		hematologic malignancy|oncology	Hodgkin's lymphoma|brain tumors
lonafarnib	Phase 3	farnesyltransferase inhibitor	FNTA|HRAS|KRAS|NRAS		
lonidamine	Launched	glucokinase inhibitor	GCK		
loperamide	Launched	opioid receptor agonist	CACNA1A|CALM1|OPRD1|OPRK1|OPRM1|POMC	gastroenterology	diarrhea
lopinavir	Launched	HIV protease inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
loracarbef	Launched	bacterial cell wall synthesis inhibitor		infectious disease|otolaryngology|pulmonary	ear infections|laryngitis|bronchitis|pneumonia|urinary tract infections|skin infections
loratadine	Launched	histamine receptor antagonist	HRH1	allergy|neurology/psychiatry	allergic rhinitis|itching
loreclezole	Phase 2	benzodiazepine receptor agonist	GABRB2|GABRB3		
lorediplon	Phase 2	GABA receptor modulator	GABRA1		
lorglumide	Phase 1	CCK receptor antagonist	CCKAR|CCKBR		
lorlatinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK	oncology	non-small cell lung cancer (NSCLC)
lornoxicam	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	rheumatology|neurology/psychiatry	osteoarthritis|sciata
losartan	Launched	angiotensin receptor antagonist	AGTR1	cardiology|nephrology	hypertension|diabetic nephropathy|hypertension
losmapimod	Phase 3	p38 MAPK inhibitor	MAPK14		
lotamilast	Preclinical	phosphodiesterase inhibitor			
loteprednol	Launched	glucocorticoid receptor agonist|phospholipase inhibitor	NR3C1	ophthalmology	conjunctivitis
lovastatin	Launched	HMGCR inhibitor	HDAC2|HMGCR|ITGAL|NR1I2	cardiology|endocrinology	coronary heart disease|myocardial infarction|hypercholesterolemia
loxapine	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR5A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	schizophrenia
loxistatin-acid	Preclinical	cysteine peptidase inhibitor	CTSB		
loxoprofen	Launched	cyclooxygenase inhibitor|prostanoid receptor antagonist	PTGS2	neurology/psychiatry	pain relief
LP-533401	Preclinical	tryptophan hydroxylase inhibitor			
LPA2-antagonist-1	Preclinical	lysophosphatidic acid receptor antagonist	LPAR2		
LRRK2-IN-1	Preclinical	leucine rich repeat kinase inhibitor	LRRK2		
LSN-2463359	Preclinical	glutamate receptor positive allosteric modulator	GRM5		
LSZ-102	Phase 1	selective estrogen receptor modulator (SERM)			
LTA	Phase 2				
LTB4	Phase 2	leukocyte activator	LTB4R|LTB4R2		
LTX-315	Phase 2	anticancer agent			
Lu-AA-47070	Phase 2	adenosine receptor antagonist	ADORA2A		
lubiprostone	Launched	chloride channel activator	CLCN2	gastroenterology	constipation|irritable bowel syndrome
lucanthone	Phase 2	endonuclease inhibitor	APEX1|TOP1|TOP2A		
lucitanib	Phase 2	FGFR inhibitor|VEGFR inhibitor	FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET		
LUF-5834	Preclinical	adenosine receptor agonist	ADORA2A|ADORA2B		
lufenuron	Launched	chitin inhibitor		infectious disease	flea control
luliconazole	Launched	sterol demethylase inhibitor		infectious disease	tinea pedis|tinea cruris|tinea corporis
lumacaftor	Launched	CFTR channel agonist	CFTR	pulmonary	cystic fibrosis
lumateperone	Launched	dopamine receptor modulator|serotonin receptor antagonist	DRD2|HTR2A		
lumefantrine	Launched	antimalarial agent	ATP1A1	infectious disease	malaria
lumiracoxib	Withdrawn	cyclooxygenase inhibitor	PTGS1|PTGS2		
lupanine	Phase 1	sodium channel blocker	INS		
lurasidone	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA2A|ADRA2C|DRD2|HTR1A|HTR2A|HTR7	neurology/psychiatry	schizophrenia
lurbinectedin	Phase 3	DNA binding agent			
lusaperidone	Preclinical	adrenergic receptor antagonist			
lusutrombopag	Launched	thrombopoietin receptor agonist			
lutein	Launched	antioxidant		ophthalmology	macular degeneration|cataracts|retinitis pigmentosa (RP)
luteolin	Phase 2	glucosidase inhibitor	TOP1		
luzindole	Preclinical	melatonin receptor antagonist	MTNR1A|MTNR1B		
LXH254	Phase 1	RAF inhibitor			
LXR-623	Phase 1	LXR agonist	AR|NR1H2|NR1H3|NR1I2|NR3C1		
LXS196	Phase 1	PKC inhibitor			
LX1031	Phase 2	tryptophan hydroxylase inhibitor	TPH1		
LX7101	Phase 1/Phase 2	LIM kinase inhibitor|rho associated kinase inhibitor	LIMK2|ROCK1|ROCK2		
lycopene	Launched	free radical scavenger			
lylamine	Preclinical	cannabinoid receptor agonist	CNR1		
lymecycline	Launched	bacterial 50S ribosomal subunit inhibitor		dermatology	acne vulgaris (AV)
lynestrenol	Launched	progestogen hormone		endocrinology	contraceptive
lypressin	Launched	vasopressin receptor agonist	AVPR1A|AVPR1B|AVPR2	endocrinology	central diabetes insipidus
LY2090314	Phase 2	glycogen synthase kinase inhibitor	GSK3B		
LY2109761	Preclinical	TGF beta receptor inhibitor	TGFBR1|TGFBR2		
LY2140023	Phase 3	glutamate receptor agonist	GRM3		
LY215490	Phase 1	glutamate receptor antagonist	GRIA1|GRIA2|GRIA3|GRIA4|GRIK1		
LY2157299	Phase 2/Phase 3	TGF beta receptor inhibitor	TGFBR1		
LY2183240	Preclinical	FAAH inhibitor|FAAH reuptake inhibitor	FAAH		
LY2228820	Phase 2	p38 MAPK inhibitor	MAPK14		
LY223982	Phase 2	leukotriene receptor antagonist	LTB4R		
LY225910	Preclinical	CCK receptor antagonist	CCKBR		
LY231617	Preclinical	lipid peroxidase inhibitor			
LY2334737	Phase 1	antitumor agent|ribonucleotide reductase inhibitor			
LY2365109	Preclinical	glycine transporter inhibitor	SLC6A9		
LY2452473	Phase 2	androgen receptor modulator	AR		
LY2510924	Phase 2	CC chemokine receptor antagonist			
LY255283	Preclinical	leukotriene receptor antagonist	LTB4R|LTB4R2		
LY2584702	Phase 1	ribosomal protein inhibitor	RPS6KB1		
LY2603618	Phase 2	CHK inhibitor	CHEK1		
LY2606368	Phase 2	CHK inhibitor	CHEK1		
LY2608204	Phase 2	glucokinase activator	GCK		
LY266097	Preclinical	serotonin receptor antagonist	HTR2B		
LY2784544	Phase 2	JAK inhibitor	JAK2|JAK3		
LY2795050	Preclinical	opioid receptor antagonist			
LY2801653	Phase 2	MET inhibitor	MET		
LY2811376	Phase 1	beta-secretase inhibitor	BACE1		
LY2828360	Phase 2	cannabinoid receptor agonist			
LY2857785	Preclinical	CDK inhibitor	CDK9		
LY2874455	Phase 1	FGFR antagonist	FGFR1|FGFR2|FGFR3|FGFR4|KDR		
LY288513	Preclinical	CCK receptor antagonist	CCKBR		
LY2886721	Phase 1/Phase 2	beta-secretase inhibitor	BACE1		
LY294002	Preclinical	DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor	AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIM1|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1		
LY2979165	Phase 1	glutamate receptor agonist	GRM2		
LY3000328	Phase 1	cathepsin inhibitor	CTSS		
LY3009120	Phase 1	RAF inhibitor	BRAF|RAF1		
LY3023414	Phase 2	mTOR inhibitor|PI3K inhibitor	MTOR		
LY303511	Preclinical	casein kinase inhibitor|mTOR inhibitor|PI3K inhibitor	BRD2|BRD3|BRD4		
LY310762	Preclinical	serotonin receptor antagonist	HTR1D		
LY311727	Preclinical	phospholipase inhibitor			
LY3200882	Phase 1	TGF beta receptor inhibitor			
LY320135	Preclinical	cannabinoid receptor antagonist	CNR1		
LY3214996	Phase 1	ERK inhibitor			
LY3295668	Phase 1/Phase 2	Aurora kinase inhibitor			
LY334370	Preclinical	serotonin receptor agonist			
LY344864	Preclinical	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR7		
LY364947	Preclinical	p38 MAPK inhibitor|TGF beta receptor inhibitor	TGFBR1		
LY393558	Preclinical	serotonin receptor antagonist	HTR1B|HTR1D|HTR2A|HTR2B		
LY404187	Preclinical	glutamate receptor positive allosteric modulator	GRIA1|GRIA2|GRIA3|GRIA4		
